larsCode,courseName,level,providerUkprn,providerName
274,Abattoir worker (level 2),2,10056013,MERCURI INTERNATIONAL (UK) LIMITED
274,Abattoir worker (level 2),2,10027269,WORKFORCE TRAINING & DEVELOPMENT LTD
272,Academic professional (level 7),7,10007775,QUEEN MARY UNIVERSITY OF LONDON
272,Academic professional (level 7),7,10007792,UNIVERSITY OF EXETER
272,Academic professional (level 7),7,10007851,UNIVERSITY OF DERBY
272,Academic professional (level 7),7,10004797,NOTTINGHAM TRENT UNIVERSITY
272,Academic professional (level 7),7,10007767,UNIVERSITY OF KEELE
272,Academic professional (level 7),7,10021243,OXFORD HEALTH NHS FOUNDATION TRUST
272,Academic professional (level 7),7,10007144,UNIVERSITY OF EAST LONDON
272,Academic professional (level 7),7,10007145,UNIVERSITY OF GLOUCESTERSHIRE
272,Academic professional (level 7),7,10004351,MIDDLESEX UNIVERSITY
272,Academic professional (level 7),7,10006299,STAFFORDSHIRE UNIVERSITY
272,Academic professional (level 7),7,10004078,LONDON SOUTH BANK UNIVERSITY
272,Academic professional (level 7),7,10005977,SOUTH DEVON COLLEGE
272,Academic professional (level 7),7,10007161,TEESSIDE UNIVERSITY
272,Academic professional (level 7),7,10030870,CAPTIVA LEARNING LIMITED
272,Academic professional (level 7),7,10091009,CU APPRENTICESHIPS (BETTER FUTURES) LIMITED
272,Academic professional (level 7),7,10001143,CANTERBURY CHRIST CHURCH UNIVERSITY
176,Accident repair technician (level 3),3,10000754,BLACKPOOL AND THE FYLDE COLLEGE
176,Accident repair technician (level 3),3,10000878,BRIDGWATER AND TAUNTON COLLEGE
176,Accident repair technician (level 3),3,10004577,NOTTINGHAM COLLEGE
176,Accident repair technician (level 3),3,10006963,NEW CITY COLLEGE
176,Accident repair technician (level 3),3,10005599,S & B AUTOMOTIVE ACADEMY LIMITED
176,Accident repair technician (level 3),3,10007938,TEC PARTNERSHIP
176,Accident repair technician (level 3),3,10037348,INSPIRO LEARNING LIMITED
176,Accident repair technician (level 3),3,10019065,CALEX UK LTD
